Close Price	Volume
16.43	285018133
16.4	132250784
15.5	109326370
15.32	87697801
14.97	73980448
14.64	95179875
14.06	93938256
13.63	124208458
13.93	91725132
13.91	79518986
13.79	31892288
13.65	71664410
13.46	53435796
13.75	54422460
14.45	98802728
13.99	178690379
15.37	114737274
15.55	60819278
15.3	28182932
15.1	50471883
15.3	43568484
15.1	44044759
14.85	29043222
11.8	260773392
12.8	133691667
12.8	41968967
12.75	27998046
12.5	31598328
12.05	34156792
11.95	36982922
12.05	22370789
11.9	21221417
10.95	58784306
11.3	44081035
10.65	43966888
10.8	43595376
10.7	32281879
10.69	77173955
11.4	96007344
11.36	45715479
11.32	69680415
10.97	51664779
10.87	50289495
10.82	42068161
11.16	66847372
10.8	44814350
10.17	64942799
10.69	65290676
10.59	58002139
10.56	35115934
10.66	64424099
11.25	154589818
10.89	82924542
10.72	79486538
9.64	145294333
10.29	72692780
10.32	93013514
10.44	57359668
11.08	106358631
10.33	115731884
9.58	88212553
9.94	63099118
10.29	62731391
10.27	69402022
10.44	81131552
10.22	69794427
10.03	101520682
10.3	57513545
10.27	43213581
10.07	57704312
10.05	51285389
10	64401293
10.17	67676307
10.11	68475648
9.99	55226448
9.85	74456686
9.83	56201482
9.68	112345772
10.1	102243569
10.29	75784464
10.35	92943699
10.81	101155463
10.91	76557966
11.2	97603134
10.86	46951025
10.6	53538193
10.4	43873109
10.12	35830477
9.9	37213293
10.02	26244829
10.02	32710464
9.93	28410080
9.8	42925095
10	41150732
9.64	39631720
9.55	32633949
9.51	22479083
9.32	16161116
9.13	42452508
9.08	26075607
9.09	29655193
8.96	26645418
8.74	30122692
8.65	40827315
8.19	35724492
8.33	43219695
9.44	80770869
9.37	47457218
9.22	38437657
8.92	38710229
9.14	27216110
9.04	41430420
8.99	26733180
8.79	36907147
8.6	54079830
8.93	39205164
9.3	48746442
9.62	87299219
9.36	40085392
9.56	33317819
9.23	35463072
9.29	26650691
9.21	26633091
9.17	34368162
9.22	20676839
9.13	26292158
8.71	36971478
8.8	25496506
8.82	18540147
8.51	36171084
8.21	51841448
7.94	40202926
8.47	30537439
8.53	39767973
8.55	27468785
8.73	31183381
8.87	30622353
8.85	31905338
8.65	31233173
8.43	36184168
8.51	25821941
8.38	19784262
8.28	25815581
8.52	32913545
8.47	19993559
8.43	19651645
8.72	42103188
8.69	29789358
8.76	19882928
8.66	38153009
8.71	25404079
8.88	30790763
8.98	30492483
8.84	27786405
9.03	32046495
8.93	21013382
8.92	15320468
8.83	17719051
8.76	15450705
8.68	31889628
8.77	21258407
9.12	39698003
9.41	46667774
9.11	34638428
8.76	62683906
8.78	23998022
8.63	21328111
8.62	14523819
8.67	22661780
8.71	22600892
8.84	29848468
9	26875532
8.92	24686822
8.79	33138371
8.65	23009662
8.86	40589344
9.21	75361662
9.12	73864247
9.14	29209013
8.89	16693072
9.07	50024576
9.09	42414980
8.97	19463825
9.28	57310152
9.14	25082137
9.77	108096681
9.69	60760170
9.55	44264272
9.63	35756711
9.88	59925287
9.75	42369811
9.64	54559480
9.18	48791742
9.11	38344364
9.16	29702198
9.18	36361277
9.13	35335341
8.97	35570156
9	40851595
9.14	31956471
9.03	35248656
8.47	107451211
8.79	75380846
8.85	51889964
9.03	49455098
9.02	34452581
9.1	45763601
8.87	26635194
8.65	59437335
8.67	24255977
8.59	31523187
8.51	20734771
8.42	49309751
8.46	19402336
8.52	23231811
8.57	28745829
8.72	25944292
8.69	5253952
8.59	59432363
8.62	28806555
8.54	22205014
8.58	17059319
8.64	23331546
8.56	14131856
8.57	22076912
8.41	38171830
8.33	42913660
8.5	37823749
8.66	39924234
8.49	36817465
8.5	55240303
